time,cat-694853-discharge,cat-694852-discharge,cat-694856-discharge,cat-694725-discharge,cat-694855-discharge,cat-694724-discharge,cat-694854-discharge,cat-694723-discharge,cat-694722-discharge,storm_name
2017-09-19 07:00:00,28670.757252807933,77883.77999252277,13864.905837888238,38296.32455954887,12903.665584415494,5335.745225580399,24424.41884883007,5565.656367951762,4450.147383579734,Tropical Storm Jose
2017-09-19 08:00:00,28488.940953448793,77400.64388809992,13845.609090678194,38243.2557681499,12885.7732979989,5328.355913806341,24267.636783587695,5557.951435307594,4443.986729097984,Tropical Storm Jose
2017-09-19 09:00:00,28302.43981692824,76904.95628616007,13826.505310940252,38190.18697675093,12867.930301627535,5320.966602032283,24107.891483435236,5550.246502663424,4437.826074616233,Tropical Storm Jose
2017-09-19 10:00:00,28111.92310569793,76397.97233645494,13807.305047466258,38137.366170358495,12850.136595301392,5313.603775246665,23945.452333364527,5542.576121286719,4431.693046387764,Tropical Storm Jose
2017-09-19 11:00:00,27917.61390724171,75880.75408877443,13788.297751464366,38084.545363966055,12832.34288897525,5306.267433449482,23780.588718367384,5534.905739910013,4425.5600181592945,Tropical Storm Jose
2017-09-19 12:00:00,27719.735309043477,75354.17049294664,13769.193971726423,38031.97254258015,12814.598472694335,5298.931091652299,23613.65981843292,5527.269909800771,4419.454616184108,Tropical Storm Jose
2017-09-19 13:00:00,27519.4027485226,74819.95944862775,13750.18667572453,37979.399721194255,12796.878701436028,5291.594749855117,23444.845223555676,5519.5995284240635,4413.321587955638,Tropical Storm Jose
2017-09-19 14:00:00,27316.393138195217,74278.89335566497,13731.082895986588,37926.826899808366,12779.183575200334,5284.284893046372,23274.324523730204,5511.998249582283,4407.243812233733,Tropical Storm Jose
2017-09-19 15:00:00,27111.37574051294,73732.22736380999,13712.075599984695,37874.50206342899,12761.513093987254,5276.975036237627,23102.546693942877,5504.362419473039,4401.138410258544,Tropical Storm Jose
2017-09-19 16:00:00,26904.350555475783,73179.86492308194,13693.16478771885,37822.17722704964,12743.891902819398,5269.69166441732,22929.5117341937,5496.761140631259,4395.060634536638,Tropical Storm Jose
2017-09-19 17:00:00,26695.540670567618,72622.57843332799,13674.25397545301,37769.85239067027,12726.295356674156,5262.4082925970115,22755.578824471773,5489.159861789478,4388.982858814732,Tropical Storm Jose
2017-09-19 18:00:00,26485.169173272305,72061.04374441442,13655.343163187166,37717.77553929744,12708.723455551522,5255.151405765142,22580.837759774367,5481.593134215161,4382.932709346108,Tropical Storm Jose
2017-09-19 19:00:00,26273.682238557623,71496.1298061694,13636.528834657374,37665.69868792462,12691.20084447412,5247.894518933272,22405.64772009059,5474.026406640843,4376.882559877483,Tropical Storm Jose
2017-09-19 20:00:00,26061.07986642356,70928.31936849735,13617.714506127584,37613.869821558335,12673.67823339671,5240.637632101401,22230.008705420427,5466.4596790665255,4370.832410408858,Tropical Storm Jose
2017-09-19 21:00:00,25847.80823183786,70358.38483124552,13598.996661333842,37561.79297018551,12656.20491236453,5233.433715246407,22054.190100755724,5458.92750275967,4364.8098871935135,Tropical Storm Jose
2017-09-19 22:00:00,25633.867334800536,69786.9054942993,13580.182332804048,37510.21208882576,12638.75623635496,5226.203313402974,21878.281701093747,5451.395326452814,4358.787363978171,Tropical Storm Jose
2017-09-19 23:00:00,25419.70335027934,69214.36410756316,13561.464488010308,37458.38322245948,12621.332205368006,5218.99939654798,21702.46309642904,5443.897701413422,4352.792467016108,Tropical Storm Jose
2017-09-20 00:00:00,25205.316278274266,68641.33997092253,13542.843126952615,37406.80234109973,12603.957464426272,5211.821964681421,21526.913876756156,5436.400076374029,4346.797570054047,Tropical Storm Jose
2017-09-20 01:00:00,24990.929206269186,68068.4123842628,13524.125282158871,37355.22145973998,12586.58272348454,5204.644532814864,21351.723837072383,5428.902451334636,4340.802673091985,Tropical Storm Jose
2017-09-20 02:00:00,24776.988309231863,67496.06409748846,13505.600404837232,37303.88856338676,12569.257272588036,5197.467100948306,21176.982772374973,5421.439377562706,4334.835402383204,Tropical Storm Jose
2017-09-20 03:00:00,24563.270499678412,66924.68131052314,13486.97904377954,37252.55566703355,12551.956466714137,5190.316154070186,21002.870272658496,5413.976303790777,4328.868131674423,Tropical Storm Jose
2017-09-20 04:00:00,24350.22195257659,66355.036423214,13468.454166457896,37201.22277068034,12534.680305862856,5183.165207192067,20829.47613292022,5406.513230018846,4322.900860965643,Tropical Storm Jose
2017-09-20 05:00:00,24138.28884289416,65787.70873544647,13449.929289136257,37150.13785933366,12517.4534350568,5176.040745302384,20656.9799431547,5399.084707514378,4316.9612165101435,Tropical Storm Jose
2017-09-20 06:00:00,23927.248083147224,65222.891347182325,13431.404411814616,37099.05294798699,12500.22656425074,5168.916283412701,20485.29190836465,5391.656185009911,4311.021572054644,Tropical Storm Jose
2017-09-20 07:00:00,23717.32276081967,64661.067008326085,13412.976018229025,37047.96803664031,12483.048983489907,5161.818306511456,20314.591618544626,5384.262213772906,4305.109553852427,Tropical Storm Jose
2017-09-20 08:00:00,23508.959050879253,64103.00811872493,13394.740592115531,36997.13111030018,12465.896047751688,5154.720329610211,20145.058663689175,5376.868242535901,4299.197535650209,Tropical Storm Jose
2017-09-20 09:00:00,23301.710778358218,63548.13537849347,13376.408682265992,36946.29418396003,12448.76775703608,5147.648837697404,19976.603248801028,5369.474271298897,4293.285517447991,Tropical Storm Jose
2017-09-20 10:00:00,23096.470293192066,62997.89703734521,13357.9802886804,36895.4572576199,12431.688756365696,5140.577345784596,19809.404963874735,5362.080300061892,4287.373499245773,Tropical Storm Jose
2017-09-20 11:00:00,22892.56833292917,62452.09999531834,13339.455411358756,36844.8683162863,12414.609755695314,5133.5323388602255,19643.463808910295,5354.720880092349,4281.489107296837,Tropical Storm Jose
2017-09-20 12:00:00,22691.12033498892,61911.70975222187,13321.123501509215,36794.27937495269,12397.580045070154,5126.487331935855,19478.959373902257,5347.39601139027,4275.632341601182,Tropical Storm Jose
2017-09-20 13:00:00,22491.233949435795,61375.85735822769,13302.888075395727,36743.93841862563,12380.574979467609,5119.442325011486,19315.801863853343,5340.036591420729,4269.747949652245,Tropical Storm Jose
2017-09-20 14:00:00,22293.19918999885,60844.63936331669,13284.652649282236,36693.34947729203,12363.594558887677,5112.423803075552,19154.081073760834,5332.711722718649,4263.89118395659,Tropical Storm Jose
2017-09-20 15:00:00,22096.99374792969,60318.345417431585,13266.417223168744,36643.25650597151,12346.638783330352,5105.40528113962,18993.886798622003,5325.421405284032,4258.062044514216,Tropical Storm Jose
2017-09-20 16:00:00,21902.66224072509,59796.87897059148,13248.181797055253,36592.91554964445,12329.707652795643,5098.413244192125,18835.30883343412,5318.131087849415,4252.232905071842,Tropical Storm Jose
2017-09-20 17:00:00,21710.160050888273,59280.43312275817,13230.042854677811,36542.82257832391,12312.82581230616,5091.421207244629,18678.25738319991,5310.8407704147985,4246.403765629469,Tropical Storm Jose
2017-09-20 18:00:00,21519.7325746515,58769.39407385525,13211.903912300371,36492.72960700339,12295.96861683929,5084.455655285571,18522.822242916667,5303.550452980181,4240.5746261870945,Tropical Storm Jose
2017-09-20 19:00:00,21331.022872040587,58262.89287405462,13193.76496992293,36442.636635682866,12279.136066395027,5077.490103326513,18369.09320758164,5296.2946868130275,4234.773112998003,Tropical Storm Jose
2017-09-20 20:00:00,21144.097869300676,57761.12262331808,13175.72251128154,36392.791649368875,12262.328160973382,5070.551036355894,18216.98048219757,5289.038920645873,4228.9715998089105,Tropical Storm Jose
2017-09-20 21:00:00,20958.979875180157,57264.27642160744,13157.680052640151,36343.19464806142,12245.544900574349,5063.611969385273,18066.663656759003,5281.817705746182,4223.1977128731,Tropical Storm Jose
2017-09-20 22:00:00,20775.713507175828,56772.45081890358,13139.73407773481,36293.34966174743,12228.786285197924,5056.6729024146525,17917.963141271386,5274.596490846489,4217.423825937289,Tropical Storm Jose
2017-09-20 23:00:00,20594.41030902959,56285.74236518742,13121.78810282947,36243.752660439975,12212.076959866728,5049.7603204324705,17771.14832072655,5267.375275946799,4211.649939001478,Tropical Storm Jose
2017-09-21 00:00:00,20415.003354496315,55804.24761043985,13103.842127924128,36194.15565913253,12195.367634535529,5042.874223438725,17626.039605129936,5260.154061047107,4205.876052065667,Tropical Storm Jose
2017-09-21 01:00:00,20237.782657305022,55328.545854546275,13085.896153018786,36144.806642831616,12178.707599249556,5035.9881264449805,17482.636994481552,5252.967397414878,4200.129791383137,Tropical Storm Jose
2017-09-21 02:00:00,20062.748217455715,54858.63709750669,13068.046661849496,36095.4576265307,12162.072208986196,5029.102029451235,17341.120078775948,5245.815285050112,4194.411156953889,Tropical Storm Jose
2017-09-21 03:00:00,19889.94465244517,54394.61788930199,13050.197170680209,36046.108610229785,12145.461463745449,5022.2159324574895,17201.399063015844,5238.628621417882,4188.664896271359,Tropical Storm Jose
2017-09-21 04:00:00,19719.305036028225,53936.391679951295,13032.347679510918,35996.75959392887,12128.875363527311,5015.382805440619,17063.473947201244,5231.476509053116,4182.946261842111,Tropical Storm Jose
2017-09-21 05:00:00,19550.807059456496,53483.95846945458,13014.59467207768,35947.65856263449,12112.313908331793,5008.523193435312,16927.344731332145,5224.358947955812,4177.255253666145,Tropical Storm Jose
2017-09-21 06:00:00,19384.562266471916,53037.41480779276,12996.84166464444,35898.55753134012,12095.801743181491,5001.690066418442,16793.01141540855,5217.206835591046,4171.5366192368965,Tropical Storm Jose
2017-09-21 07:00:00,19220.347569590605,52596.27794506132,12979.0886572112,35849.70448505227,12079.289578031194,4994.85693940157,16660.56379442773,5210.089274493743,4165.8456110609295,Tropical Storm Jose
2017-09-21 08:00:00,19058.20758630935,52160.83753120299,12961.335649777957,35800.85143876444,12062.826702926122,4988.050297373138,16529.822278395142,5203.006264663903,4160.182229138244,Tropical Storm Jose
